CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM,optype
Cape May,5700,West Wildwood,1357154,41,33101,13,943343,30,31445,13,K-12|Non-Operating,,
Cape May,5790,Wildwood City,22220752,864,25707,47,22787456,865,26359,48,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Cape May,5800,Wildwood Crest Boro,7996502,300,26627,64,8122035,295,27547,64,"I. K-12|K-8,0-400",IK-12K-80-400,
Cape May,5840,Woodbine Boro,6475393,280,23113,48,6450398,291,22184,36,"I. K-12|K-8,0-400",IK-12K-80-400,
Cumberland,540,Bridgeton City,122979967,6265,19631,44,123977223,6415,19326,32,"N. K-12|K-12,3500+",NK-12K-123500plus,
Cumberland,950,Commercial Twp,14827467,816,18182,16,15719893,770,20417,31,"J. K-12|K-8,401-750",JK-12K-8401-750,
Cumberland,995,Cumberland Co Vocational,11221344,370,30310,19,15472321,367,42182,21,Q. County Voc,QCountyVoc,
Cumberland,997,Cumberland Regional,26361326,1252,21053,13,26326747,1185,22226,14,"G. G9-12|7-12,9-12",GG9-127-129-12,
Cumberland,1020,Deerfield Twp,6407533,338,18962,17,6641635,336,19750,19,"C. K-8|K-8,0-400",CK-8K-80-400,
Cumberland,1120,Downe Twp,4259649,206,20645,30,4149874,207,20017,21,"I. K-12|K-8,0-400",IK-12K-80-400,
Cumberland,1460,Fairfield Twp,12217910,677,18052,14,12314305,617,19966,24,"D. K-8|K-8,401-750",DK-8K-8401-750,
Cumberland,1820,Greenwich Twp,1477743,62,23843,52,1525517,67,22773,42,"C. K-8|K-8,0-400",CK-8K-80-400,
Cumberland,2270,Hopewell Twp,8600534,501,17163,5,9031503,488,18498,10,"D. K-8|K-8,401-750",DK-8K-8401-750,
Cumberland,2570,Lawrence Twp,10638015,610,17430,7,10811811,564,19159,16,"J. K-12|K-8,401-750",JK-12K-8401-750,
Cumberland,3050,Maurice River Twp,9101527,534,17030,5,9132562,545,16748,2,"I. K-12|K-8,0-400",IK-12K-80-400,
Cumberland,3230,Millville City,116919039,5844,20007,51,118331908,5619,21060,56,"N. K-12|K-12,3500+",NK-12K-123500plus,
Cumberland,5070,Stow Creek Twp,2177577,113,19325,23,2224123,118,18932,11,"C. K-8|K-8,0-400",CK-8K-80-400,
Cumberland,5300,Upper Deerfield Twp,17575505,914,19232,39,17797097,916,19427,33,"E. K-8|K-8,751+",EK-8K-8751plus,
Cumberland,5390,Vineland City,222644190,11118,20026,52,222399600,10794,20605,47,"N. K-12|K-12,3500+",NK-12K-123500plus,
Cumberland,6028,Vineland Public Charter School,3737033,333,11212,3,4343432,369,11761,4,O. Charter,OCharter,
Cumberland,6069,Millville Public Charter School,2956831,249,11865,6,3688554,305,12113,6,O. Charter,OCharter,
Cumberland,6089,Compass Academy Cs,2003380,176,11396,4,1940435,192,10112,1,O. Charter,OCharter,
Cumberland,6100,Bridgeton Public Charter School,1483874,96,15441,26,1757535,122,14359,18,O. Charter,OCharter,
Essex,250,Belleville Town,75671678,4686,16150,2,77574215,4530,17126,4,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,410,Bloomfield Twp,106197892,6362,16694,7,110692076,6432,17210,6,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,660,Caldwell-West Caldwell,49661943,2919,17012,9,52539222,2659,19759,31,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Essex,760,Cedar Grove Twp,32560010,1656,19664,24,35130347,1642,21402,31,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Essex,1210,East Orange,280991297,10145,27699,97,286657272,10004,28655,96,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,1390,Essex Co Voc-Tech,48948675,2157,22690,11,54124292,2106,25699,16,Q. County Voc,QCountyVoc,
Essex,1400,Essex Fells Boro,5099713,211,24148,50,5134471,225,22781,41,A. K-6|K-6,AK-6K-6,
Essex,1465,Fairfield Twp,12772145,653,19549,27,13027357,667,19533,21,A. K-6|K-6,AK-6K-6,
Essex,1750,Glen Ridge Boro,34266213,1915,17890,16,34904855,1949,17906,12,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Essex,2330,Irvington Township,177142380,7552,23458,86,170359206,7059,24134,86,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,2730,Livingston Twp,127860520,6015,21256,63,131743315,5997,21970,67,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,3190,Millburn Twp,98094552,4941,19853,47,102080143,4940,20662,50,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,3310,Montclair Town,138009337,6752,20441,58,144421218,6741,21424,61,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,3570,Newark City,956775489,42083,22735,78,953613367,41721,22857,77,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,3630,North Caldwell Boro,14046354,686,20478,33,14062993,693,20291,25,A. K-6|K-6,AK-6K-6,
Essex,3750,Nutley Town,71912563,4077,17639,17,77744073,4129,18827,21,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,3880,City Of Orange Twp,126148649,5626,22422,75,121953294,5752,21203,58,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,4530,Roseland Boro,10040577,433,23177,47,9739397,459,21234,33,A. K-6|K-6,AK-6K-6,
Essex,4900,South Orange-Maplewood,136719767,7045,19406,40,139957044,7150,19574,36,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,5370,Verona Boro,40028968,2178,18377,20,42028808,2215,18979,24,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Essex,5630,West Essex Regional,42119808,1747,24114,29,42995575,1729,24864,29,"F. G7-12|7-12,9-12",FG7-127-129-12,
Essex,5680,West Orange Town,164040606,6793,24150,89,174013572,6731,25852,93,"N. K-12|K-12,3500+",NK-12K-123500plus,
Essex,6020,Pride Academy Charter School,5158264,287,17992,58,5220629,288,18146,63,O. Charter,OCharter,
Essex,6022,Burch Charter School Of Excellence,5833973,344,16984,42,5521005,343,16101,35,O. Charter,OCharter,
Essex,6029,Newark Educators Community Charter Schoo,5604733,253,22188,79,5453567,247,22052,83,O. Charter,OCharter,
Essex,6053,Great Oaks Charter School,9486589,460,20614,74,21398186,1264,16924,49,O. Charter,OCharter,
Essex,6057,Peoples Preparatory Charter School,7423271,371,19987,71,8244073,380,21695,82,O. Charter,OCharter,
Essex,6058,Roseville Community Cs,5385917,348,15463,27,5061823,320,15838,33,O. Charter,OCharter,
Essex,6094,Phillip's Academy Cs,5260364,375,14046,17,6031765,372,16228,36,O. Charter,OCharter,
Essex,6099,Link Community Charter School,4795810,286,16751,40,4801284,285,16841,45,O. Charter,OCharter,
Essex,6109,Lead Charter School,N.R.,N.R.,N.R.,,N.R.,N.R.,N.R.,,O. Charter,OCharter,C
Essex,6110,Achieve Community Charter Sc,N.R.,N.R.,N.R.,,N.R.,N.R.,N.R.,,O. Charter,OCharter,C
Essex,6320,Discovery Cs,1671470,80,20893,75,1744932,100,17449,57,O. Charter,OCharter,
Essex,6410,East Orange Community Cs,7803526,486,16050,32,7326736,476,15386,28,O. Charter,OCharter,
Essex,6665,Gray Cs,4640032,325,14268,19,5319836,337,15781,32,O. Charter,OCharter,
Essex,7100,Lady Liberty Academy Cs,9196553,439,20963,76,9127593,428,21351,81,O. Charter,OCharter,
Essex,7210,Marion P. Thomas Cs,24408161,1241,19670,69,28176460,1331,21173,79,O. Charter,OCharter,
Essex,7290,New Horizons Comm. Cs,11961283,432,27701,83,8621402,494,17463,58,O. Charter,OCharter,
Essex,7320,North Star Academy Charter School,72868190,3991,18259,63,88073672,4501,19566,73,O. Charter,OCharter,
Essex,7325,Team Academy Charter School,67946149,3218,21114,77,77149273,3702,20840,76,O. Charter,OCharter,
Essex,7730,Robert Treat Academy Cs,11131057,648,17170,44,11697166,682,17161,50,O. Charter,OCharter,
Essex,7735,Maria L. Varisco-Rogers,10861181,485,22376,81,10486666,540,19420,71,O. Charter,OCharter,
Essex,8065,University Heights Cs,11002155,574,19178,67,13201962,631,20929,78,O. Charter,OCharter,
Gloucester,860,Clayton Boro,26080569,1478,17646,9,26028337,1526,17057,6,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Gloucester,870,Clearview Regional,42233886,2444,17279,2,42899205,2373,18079,2,"F. G7-12|7-12,9-12",FG7-127-129-12,
Gloucester,1100,Deptford Twp,78744520,4402,17887,20,80231756,4411,18190,16,"N. K-12|K-12,3500+",NK-12K-123500plus,
Gloucester,1180,East Greenwich Twp,20075173,1277,15725,2,20878504,1265,16510,4,A. K-6|K-6,AK-6K-6,
Gloucester,1330,Elk Twp,6028453,346,17435,13,6748745,340,19860,24,A. K-6|K-6,AK-6K-6,
Gloucester,1590,Franklin Twp,22995805,1437,15999,4,25907008,1470,17619,8,A. K-6|K-6,AK-6K-6,
Gloucester,1715,Gateway Regional,22842710,945,24161,30,23162641,961,24100,23,"F. G7-12|7-12,9-12",FG7-127-129-12,
Gloucester,1730,Glassboro,44874820,2154,20837,53,47507985,2162,21972,56,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Gloucester,1774,Gloucester Co Spec Serv,37253965,705,52862,3,37677143,693,54372,2,P. CSSD,PCSSD,
Gloucester,1775,Gloucester Co Vocational,25766090,1376,18728,6,26601630,1406,18923,6,Q. County Voc,QCountyVoc,
Gloucester,1830,Greenwich Twp,13206531,562,23508,56,12757301,549,23249,46,"J. K-12|K-8,401-750",JK-12K-8401-750,
Gloucester,2070,Harrison Twp,21967667,1469,14952,1,22485901,1437,15652,1,A. K-6|K-6,AK-6K-6,
Gloucester,2440,Kingsway Regional,42784765,2607,16412,1,42173192,2710,15563,1,"F. G7-12|7-12,9-12",FG7-127-129-12,
Gloucester,2750,Logan Twp,20131504,1129,17825,20,20554500,1134,18121,17,"K. K-12|K-8,751+",KK-12K-8751plus,
Gloucester,2990,Mantua Twp,22966645,1243,18481,22,23289348,1254,18568,15,A. K-6|K-6,AK-6K-6,
Gloucester,3280,Monroe Twp,101086121,6157,16418,4,106670882,6372,16740,3,"N. K-12|K-12,3500+",NK-12K-123500plus,
Gloucester,3490,National Park Boro,4904009,282,17397,12,5313546,269,19735,23,A. K-6|K-6,AK-6K-6,
Gloucester,3580,Newfield Boro,3476782,216,16096,3,3948957,228,17320,3,K-12|Non-Operating,,
Gloucester,4020,Paulsboro Boro,24655661,1194,20650,30,26074052,1189,21935,32,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Gloucester,4140,Pitman Boro,28600225,1383,20688,31,28803722,1365,21104,28,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Gloucester,4880,South Harrison Twp,6446110,396,16284,6,6475050,390,16588,5,A. K-6|K-6,AK-6K-6,
Gloucester,4940,Delsea Regional H.S Dist.,36720457,1654,22201,21,39894013,1648,24205,24,"F. G7-12|7-12,9-12",FG7-127-129-12,
Gloucester,5120,Swedesboro-Woolwich,29804403,1724,17285,11,31156746,1705,18273,13,A. K-6|K-6,AK-6K-6,
Gloucester,5500,Washington Twp,157863392,7375,21405,66,161621908,7405,21827,64,"N. K-12|K-12,3500+",NK-12K-123500plus,
Gloucester,5590,Wenonah Boro,3681048,197,18721,24,3874058,179,21626,36,A. K-6|K-6,AK-6K-6,
Gloucester,5620,West Deptford Twp,51740906,3007,17205,12,54209409,2976,18213,15,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Gloucester,5740,Westville Boro,6767483,369,18338,20,6058843,387,15678,2,A. K-6|K-6,AK-6K-6,
Gloucester,5860,Woodbury City,32952689,1536,21451,35,33042632,1564,21126,30,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Gloucester,5870,Woodbury Heights Boro,4146134,227,18247,18,4121622,230,17908,12,A. K-6|K-6,AK-6K-6,
Hudson,220,Bayonne City,162204753,9514,17049,11,167290161,9475,17657,10,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,1200,East Newark Boro,6059788,410,14769,1,5675222,407,13944,1,"I. K-12|K-8,0-400",IK-12K-80-400,
Hudson,1850,Guttenberg Town,19159390,1330,14411,2,19728326,1364,14469,2,"K. K-12|K-8,751+",KK-12K-8751plus,
Hudson,2060,Harrison Town,60793742,2473,24587,70,59811721,2436,24554,69,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Hudson,2210,Hoboken City,67607527,2396,28217,72,72498628,2599,27899,72,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Hudson,2295,Hudson County Vocational,57660376,2142,26915,17,68495606,2589,26460,18,Q. County Voc,QCountyVoc,
Hudson,2390,Jersey City,706761653,31065,22751,79,719979144,30851,23337,82,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,2410,Kearny Town,98675269,6004,16435,5,106252755,5737,18521,18,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,3610,North Bergen Twp,131123049,7942,16511,6,138315291,7790,17755,12,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,4730,Secaucus Town,42863127,2124,20180,47,43884269,2126,20641,44,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Hudson,5240,Union City,313507868,13761,22782,80,292107534,13973,20905,52,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,5580,Weehawken Twp,27896265,1427,19548,23,28170119,1404,20070,21,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Hudson,5670,West New York Town,172161978,9145,18826,31,175582980,9205,19076,25,"N. K-12|K-12,3500+",NK-12K-123500plus,
Hudson,6030,The Ethical Community Charter School,4320662,340,12727,8,4907213,368,13342,11,O. Charter,OCharter,
Hudson,6036,Hola Hoboken Dual Lang Cs,4743005,327,14500,21,5505275,365,15099,26,O. Charter,OCharter,
Hudson,6064,Dr Lena Edwards Academic Charter School,5779558,383,15090,25,5700833,386,14773,22,O. Charter,OCharter,
Hudson,6068,M E T S Charter School,7716355,479,16103,33,7908083,506,15635,31,O. Charter,OCharter,
Hudson,6082,Beloved Community Charter School,9162881,712,12875,9,10841441,840,12914,10,O. Charter,OCharter,
Hudson,6093,Jersey City Global Cs,3163314,311,10181,1,3881081,358,10841,2,O. Charter,OCharter,
Hudson,6103,Empowerment Academy,2264419,187,12116,7,4089249,331,12354,7,O. Charter,OCharter,
Hudson,6105,Hudson Arts & Science,N.R.,N.R.,N.R.,,4004775,357,11205,3,O. Charter,OCharter,
Hudson,6184,Great Futures Charter School,3213299,237,13581,13,4688333,279,16792,44,O. Charter,OCharter,
Hudson,6420,Elysian Cs Of Hoboken,4614084,288,16027,31,4984669,288,17320,54,O. Charter,OCharter,
Hudson,6720,Hoboken Cs,5146429,297,17305,47,5728334,298,19223,70,O. Charter,OCharter,
Hudson,6910,Jersey City Comm. Cs,8234911,571,14427,20,8960437,560,16004,34,O. Charter,OCharter,
Hudson,6915,Jersey City Golden Door Charter School,7358846,503,14639,22,7366750,499,14775,23,O. Charter,OCharter,
Hudson,7115,Learning Community Cs,8126003,539,15084,23,7943670,539,14735,20,O. Charter,OCharter,
Hudson,7830,Soaring Heights Cs,3219345,236,13659,14,3315450,240,13837,14,O. Charter,OCharter,
Hudson,8060,University Academy Cs,7219472,426,16939,41,7667916,424,18080,61,O. Charter,OCharter,
Hunterdon,20,Alexandria Twp,11386414,489,23306,55,11622347,486,23901,54,"D. K-8|K-8,401-750",DK-8K-8401-750,
Hunterdon,370,Bethlehem Twp,14980457,389,38495,74,10162116,371,27415,63,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,430,Bloomsbury Boro,3493713,182,19206,21,3429668,168,20418,25,"I. K-12|K-8,0-400",IK-12K-80-400,
Hunterdon,670,Califon Boro,2899870,110,26451,63,3003535,95,31485,71,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,910,Clinton Town,9620475,458,21014,34,9667995,443,21811,35,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,920,Clinton Twp,32455199,1412,22985,72,34980809,1345,26017,74,"E. K-8|K-8,751+",EK-8K-8751plus,
Hunterdon,1040,Delaware Twp,10403912,403,25806,60,9932698,388,25585,56,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,1050,Delaware Valley Regional,21089749,894,23581,25,21982904,840,26164,35,"G. G9-12|7-12,9-12",GG9-127-129-12,
Hunterdon,1160,East Amwell Twp,9106153,370,24629,57,10021127,357,28109,67,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,1376,South-Hunterdon,23476550,955,24576,43,24300476,1034,23506,40,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Hunterdon,1510,Flemington-Raritan Reg,66243104,3166,20926,55,69493554,3105,22384,60,"E. K-8|K-8,751+",EK-8K-8751plus,
Hunterdon,1600,Franklin Twp,7159175,302,23729,51,7752145,290,26738,58,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,1680,Frenchtown Boro,3191258,142,22482,45,3568573,127,28008,66,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,1970,Hampton Boro,3436224,121,28410,69,3483028,130,26822,59,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,2140,High Bridge Boro,8545361,375,22785,46,9332042,395,23606,46,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,2220,Holland Twp,11859642,558,21263,44,11864851,549,21603,38,"D. K-8|K-8,401-750",DK-8K-8401-750,
Hunterdon,2300,Hunterdon Central Reg,64706536,2989,21652,19,68686133,3030,22666,16,"G. G9-12|7-12,9-12",GG9-127-129-12,
Hunterdon,2308,Hunterdon Co Vocational,5771700,301,19198,7,6138345,326,18848,5,Q. County Voc,QCountyVoc,
Hunterdon,2450,Kingwood Twp,7918963,344,23010,47,8053558,345,23378,45,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,2590,Lebanon Boro,2816168,130,21696,39,2982936,136,21973,38,B. K-8|K-6,BK-8K-6,
Hunterdon,2600,Lebanon Twp,13965383,664,21049,43,13863907,629,22052,42,"D. K-8|K-8,401-750",DK-8K-8401-750,
Hunterdon,3180,Milford Boro,2437276,95,25629,59,2665020,85,31446,70,"C. K-8|K-8,0-400",CK-8K-80-400,
Hunterdon,3660,N Hunt/Voorhees Regional,59381427,2822,21041,12,65410543,2826,23146,20,"G. G9-12|7-12,9-12",GG9-127-129-12,
Hunterdon,4350,Readington Twp,35065749,1697,20670,52,35898610,1615,22225,59,"E. K-8|K-8,751+",EK-8K-8751plus,
Hunterdon,5180,Tewksbury Twp,15568595,604,25774,65,15871674,573,27689,64,"D. K-8|K-8,401-750",DK-8K-8401-750,
Hunterdon,5270,Union Twp,11663564,458,25486,64,10866541,457,23797,51,"D. K-8|K-8,401-750",DK-8K-8401-750,
Mercer,1245,East Windsor Regional,100723679,5205,19352,38,102117485,5257,19424,34,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,1430,Ewing Twp,79871347,3606,22151,72,82334820,3586,22963,79,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,1950,Hamilton Twp,213046182,11876,17940,21,225349625,11778,19133,28,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,2280,Hopewell Valley Regional,88438644,3691,23960,87,87860736,3635,24168,87,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,2580,Lawrence Twp,81311709,3972,20474,59,88172191,3951,22318,71,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,3103,Mercer Co Special Service,43382610,627,69185,7,43725401,576,75901,6,P. CSSD,PCSSD,
Mercer,3105,Mercer County Vocational,13644866,478,28522,18,13225437,527,25103,13,Q. County Voc,QCountyVoc,
Mercer,4255,Princeton,93024887,3590,25910,93,94715589,3759,25194,91,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,5210,Trenton City,318779614,13667,23326,84,306116055,13623,22471,72,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,5510,Robbinsville Twp,50061770,3002,16677,5,51340474,3086,16636,4,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Mercer,5715,W Windsor-Plainsboro Reg,180515827,9750,18515,26,183216339,9788,18718,20,"N. K-12|K-12,3500+",NK-12K-123500plus,
Mercer,6017,Foundation Academy Cs,14255708,884,16126,34,16487378,1002,16461,39,O. Charter,OCharter,
Mercer,6025,Paul Robeson Humanities  Charter School,6514259,372,17526,49,6339236,375,16905,47,O. Charter,OCharter,
Mercer,6182,International Academy Of Trenton Charter,5898604,440,13403,12,8249769,541,15258,27,O. Charter,OCharter,
Mercer,6183,Trenton Stem-To-Civics Cs,3427182,199,17239,45,5199597,295,17632,59,O. Charter,OCharter,
Mercer,6810,International Charter School,1473666,90,16466,38,1532590,89,17162,51,O. Charter,OCharter,
Mercer,7500,Pace Cs Of Hamilton,3583566,238,15089,24,4081542,250,16352,37,O. Charter,OCharter,
Mercer,7540,Princeton Cs,6149513,348,17686,52,6313986,348,18165,64,O. Charter,OCharter,
Mercer,8140,Village Cs,6213766,359,17328,48,5971975,357,16742,42,O. Charter,OCharter,
Middlesex,750,Carteret Boro,64507697,3796,16993,9,67403462,3789,17791,13,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,970,Cranbury Twp,18942977,768,24653,62,18287203,746,24519,58,"J. K-12|K-8,401-750",JK-12K-8401-750,
Middlesex,1140,Dunellen Boro,19821603,1155,17160,8,19873307,1209,16440,3,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Middlesex,1170,East Brunswick Twp,173236636,8183,21172,62,175035071,8064,21706,63,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,1290,Edison Twp,266878419,15275,17472,14,269729715,15713,17167,5,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,2150,Highland Park Boro,35090001,1627,21563,37,36982099,1629,22706,36,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Middlesex,2370,Jamesburg Boro,14448145,934,15468,2,14795845,951,15562,1,"J. K-12|K-8,401-750",JK-12K-8401-750,
Middlesex,3120,Metuchen Boro,42715327,2255,18939,31,44571099,2253,19786,33,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Middlesex,3140,Middlesex Boro,39106706,2078,18818,27,40333930,2099,19217,25,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Middlesex,3150,Middlesex Co Vocational,52286739,2362,22136,10,54176769,2192,24712,12,Q. County Voc,QCountyVoc,
Middlesex,3220,Milltown Boro,17346280,1017,17064,14,17863847,1001,17842,15,"K. K-12|K-8,751+",KK-12K-8751plus,
Middlesex,3290,Monroe Twp,123400332,6541,18865,32,130495848,6787,19226,31,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,3530,New Brunswick City,234678090,10280,22828,81,236196356,10398,22715,74,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,3620,North Brunswick Twp,109236202,6127,17830,18,113500597,6102,18602,19,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,3845,Old Bridge Twp,163908881,8999,18215,24,170052139,8907,19093,27,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,4090,Perth Amboy City,241354405,10930,22082,71,273723210,11119,24618,89,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,4130,Piscataway Twp,125376149,7280,17222,12,125911392,7299,17251,7,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,4660,Sayreville Boro,97350633,6149,15832,1,101238163,6142,16484,1,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,4830,South Amboy City,19850122,1102,18010,13,20124300,1093,18407,11,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Middlesex,4860,South Brunswick Twp,152595749,8787,17367,13,159371194,8831,18048,14,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,4910,South Plainfield Boro,67086293,3559,18848,29,66572253,3429,19415,27,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Middlesex,4920,South River Boro,36500562,2236,16327,4,37180715,2226,16706,5,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Middlesex,4970,Spotswood,30105271,1799,16734,3,29841885,1766,16898,4,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Middlesex,5850,Woodbridge Twp,234788986,13858,16942,8,243896588,13901,17546,9,"N. K-12|K-12,3500+",NK-12K-123500plus,
Middlesex,6032,Academy For Urban Leadership Charter Sch,7678331,390,19703,70,8182285,494,16580,40,O. Charter,OCharter,
Middlesex,6041,Hatikvah International Cs,4679426,333,14057,18,5316248,376,14158,16,O. Charter,OCharter,
Middlesex,6635,Greater Brunswick Cs,7000726,387,18094,60,7188742,391,18371,66,O. Charter,OCharter,
Monmouth,50,Allenhurst,212241,5,42448,14,168007,3,56002,14,K-12|Non-Operating,,
Monmouth,100,Asbury Park City,84785164,2380,35632,73,83142094,2250,36957,73,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Monmouth,130,Atlantic Highlands Boro,6214413,324,19186,26,6520542,335,19496,19,A. K-6|K-6,AK-6K-6,
Monmouth,180,Avon Boro,4249030,197,21626,40,4470580,200,22371,37,"I. K-12|K-8,0-400",IK-12K-80-400,
Monmouth,270,Belmar Boro,13473745,703,19160,28,13760178,682,20191,29,"J. K-12|K-8,401-750",JK-12K-8401-750,
Monmouth,500,Bradley Beach Boro,8201022,390,21055,36,8541661,375,22802,43,"I. K-12|K-8,0-400",IK-12K-80-400,
Monmouth,560,Brielle Boro,14384567,808,17794,11,15056726,805,18705,12,"J. K-12|K-8,401-750",JK-12K-8401-750,
Monmouth,945,Colts Neck Twp,26346628,957,27529,76,27384573,944,29007,76,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,1000,Deal Boro,4355430,167,26080,62,4370474,171,25542,55,"I. K-12|K-8,0-400",IK-12K-80-400,
Monmouth,1260,Eatontown Boro,22614348,1058,21375,62,24080630,1026,23477,70,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,1440,Fair Haven Boro,17184382,1017,16891,11,17459946,1019,17135,10,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,1490,Farmingdale Boro,2902781,167,17358,8,3335532,162,20590,26,"C. K-8|K-8,0-400",CK-8K-80-400,
Monmouth,1640,Freehold Boro,27535053,1731,15906,6,28554001,1738,16427,9,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,1650,Freehold Regional,214285574,11080,19341,6,218460077,10948,19954,6,"G. G9-12|7-12,9-12",GG9-127-129-12,
Monmouth,1660,Freehold Twp,83065980,3855,21546,63,81704278,3817,21407,52,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,2105,Hazlet Twp,56401193,2907,19404,36,57847228,2913,19857,34,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Monmouth,2120,Henry Hudson Regional,9496211,302,31405,45,10225946,312,32760,46,"F. G7-12|7-12,9-12",FG7-127-129-12,
Monmouth,2160,Highlands Boro,4664222,194,23990,49,4986109,193,25809,52,A. K-6|K-6,AK-6K-6,
Monmouth,2230,Holmdel Twp,66683127,2978,22395,64,66454082,3008,22096,58,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Monmouth,2290,Howell Twp,128031202,6035,21216,59,128118209,5977,21436,53,"E. K-8|K-8,751+",EK-8K-8751plus,
Monmouth,2320,Interlaken,671992,36,18666,6,841582,34,24752,11,K-12|Non-Operating,,
Monmouth,2400,Keansburg Boro,48991686,1559,31436,50,49729142,1607,30950,50,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Monmouth,2430,Keyport Boro,21001210,1076,19528,22,21657435,1065,20331,23,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Monmouth,2720,Little Silver Boro,15510137,851,18236,25,15921825,851,18712,26,"E. K-8|K-8,751+",EK-8K-8751plus,
